Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789663863,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789663864,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789663865,500,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789663866,1000,,Aggregated,0.000000,0.000000,280,320,360,410,1500,1500,1600,1600,1600,1600,1600,327,0,280,481.19870010703136,57.033119999971404,1617.7866649999828,47.0
1789663867,1500,,Aggregated,0.000000,0.000000,260,330,360,380,1500,1500,1600,1600,1600,1600,1600,483,0,260,410.1087443271207,57.033119999971404,1617.7866649999828,47.0
1789663868,2000,,Aggregated,0.000000,0.000000,260,330,360,380,1500,1500,1600,1600,1600,1600,1600,483,0,260,410.1087443271207,57.033119999971404,1617.7866649999828,47.0
1789663869,2500,,Aggregated,202.000000,0.000000,320,370,400,420,1500,1700,3200,3700,3700,3700,3700,1108,0,320,527.3826381227441,57.033119999971404,3709.3253919999825,47.0
1789663870,3000,,Aggregated,250.000000,0.000000,340,390,430,1200,1600,2800,3300,3700,3700,3700,3700,1652,6,340,638.9266637651336,57.033119999971404,3709.3253919999825,46.82929782082324
1789663871,3500,,Aggregated,250.000000,0.000000,340,390,430,1200,1600,2800,3300,3700,3700,3700,3700,1652,6,340,638.9266637651336,57.033119999971404,3709.3253919999825,46.82929782082324
1789663872,4000,,Aggregated,320.666667,13.833333,360,410,1100,1400,2900,4400,5400,5400,7400,7400,7400,2649,221,360,931.8776897164972,57.033119999971404,7405.364414000019,43.078897697244244
1789663873,4500,,Aggregated,348.166667,22.666667,370,410,1200,1500,3300,5300,5400,7400,7400,7400,7400,3318,393,370,1058.8015743812537,0.9720639999954983,7413.423394999995,41.433092224231466
1789663874,5000,,Aggregated,348.166667,22.666667,370,410,1200,1500,3300,5300,5400,7400,7400,7400,7400,3318,393,370,1058.8015743812537,0.9720639999954983,7413.423394999995,41.433092224231466
