Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789664626,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789664627,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789664628,500,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789664629,1000,,Aggregated,0.000000,0.000000,140,150,170,170,200,210,230,250,270,280,280,1166,0,140,136.7283933730678,54.36741400012579,278.5404759999892,47.0
1789664630,1500,,Aggregated,0.000000,0.000000,140,150,170,170,200,210,230,250,270,280,280,1166,0,140,136.7283933730678,54.36741400012579,278.5404759999892,47.0
1789664631,2000,,Aggregated,0.000000,0.000000,140,150,170,170,200,210,230,250,270,280,280,1166,0,140,136.7283933730678,54.36741400012579,278.5404759999892,47.0
1789664632,2500,,Aggregated,612.000000,0.000000,120,150,170,190,240,290,340,370,430,440,440,4669,0,120,133.7441986823733,53.781303000050684,444.3265419999989,47.0
1789664633,3000,,Aggregated,612.000000,0.000000,120,150,170,190,240,290,340,370,430,440,440,4669,0,120,133.7441986823733,53.781303000050684,444.3265419999989,47.0
1789664634,3500,,Aggregated,612.000000,0.000000,120,150,170,190,240,290,340,370,430,440,440,4669,0,120,133.7441986823733,53.781303000050684,444.3265419999989,47.0
1789664635,4000,,Aggregated,930.000000,0.000000,130,160,190,210,280,350,460,2000,2100,2200,2200,10118,126,130,168.23366774619478,53.759650999836595,2201.5571790000195,47.722277129867564
1789664636,4500,,Aggregated,930.000000,0.000000,130,160,190,210,280,350,460,2000,2100,2200,2200,10118,126,130,168.23366774619478,53.759650999836595,2201.5571790000195,47.722277129867564
1789664637,5000,,Aggregated,930.000000,0.000000,130,160,190,210,280,350,460,2000,2100,2200,2200,10118,126,130,168.23366774619478,53.759650999836595,2201.5571790000195,47.722277129867564
1789664638,5500,,Aggregated,1225.777778,18.333333,170,240,290,310,410,520,680,2000,2100,2200,2200,16464,165,170,225.25799795414235,53.759650999836595,2201.5571790000195,47.58126822157434
1789664639,6000,,Aggregated,1225.777778,18.333333,170,240,290,310,410,520,680,2000,2100,2200,2200,16464,165,170,225.25799795414235,53.759650999836595,2201.5571790000195,47.58126822157434
1789664640,6500,,Aggregated,1225.777778,18.333333,170,240,290,310,410,520,680,2000,2100,2200,2200,16464,165,170,225.25799795414235,53.759650999836595,2201.5571790000195,47.58126822157434
1789664641,7000,,Aggregated,1648.300000,17.500000,260,390,500,540,660,800,1100,2000,2500,2600,2800,23129,254,260,345.89237432513215,53.759650999836595,2750.849951999953,47.63694928444809
1789664642,7500,,Aggregated,1648.300000,17.500000,260,390,500,540,660,800,1100,2000,2500,2600,2800,23129,254,260,345.89237432513215,53.759650999836595,2750.849951999953,47.63694928444809
1789664643,8000,,Aggregated,1648.300000,17.500000,260,390,500,540,660,800,1100,2000,2500,2600,2800,23129,254,260,345.89237432513215,53.759650999836595,2750.849951999953,47.63694928444809
1789664644,8500,,Aggregated,1998.400000,25.400000,370,530,600,650,790,1000,1500,2200,4200,4800,4800,29692,351,370,440.8688575436478,53.759650999836595,4807.657231999883,47.685639229422065
1789664645,9000,,Aggregated,1998.400000,25.400000,370,530,600,650,790,1000,1500,2200,4200,4800,4800,29692,351,370,440.8688575436478,53.759650999836595,4807.657231999883,47.685639229422065
1789664646,9500,,Aggregated,1998.400000,25.400000,370,530,600,650,790,1000,1500,2200,4200,4800,4800,29692,351,370,440.8688575436478,53.759650999836595,4807.657231999883,47.685639229422065
1789664647,10000,,Aggregated,2168.000000,26.900000,490,620,700,750,930,1100,2000,2500,7100,7700,7700,36120,436,490,529.8226962447394,53.759650999836595,7747.889020999992,47.70011074197121
1789664648,10000,,Aggregated,2168.000000,26.900000,490,620,700,750,930,1100,2000,2500,7100,7700,7700,36120,436,490,529.8226962447394,53.759650999836595,7747.889020999992,47.70011074197121
1789664649,10000,,Aggregated,2168.000000,26.900000,490,620,700,750,930,1100,2000,2500,7100,7700,7700,36120,436,490,529.8226962447394,53.759650999836595,7747.889020999992,47.70011074197121
1789664650,10000,,Aggregated,2194.000000,27.100000,550,650,720,770,980,1200,2100,2600,9400,11000,11000,42714,518,550,589.3224983942032,53.759650999836595,10816.634295999847,47.703375942314
1789664651,10000,,Aggregated,2194.000000,27.100000,550,650,720,770,980,1200,2100,2600,9400,11000,11000,42714,518,550,589.3224983942032,53.759650999836595,10816.634295999847,47.703375942314
1789664652,10000,,Aggregated,2194.000000,27.100000,550,650,720,770,980,1200,2100,2600,9400,11000,11000,42714,518,550,589.3224983942032,53.759650999836595,10816.634295999847,47.703375942314
1789664653,10000,,Aggregated,2176.200000,26.400000,590,690,780,840,1100,1500,2200,2700,12000,14000,14000,48926,628,590,663.8420131483874,53.759650999836595,13837.807918999943,47.74447124228426
1789664654,10000,,Aggregated,2176.200000,26.400000,590,690,780,840,1100,1500,2200,2700,12000,14000,14000,48926,628,590,663.8420131483874,53.759650999836595,13837.807918999943,47.74447124228426
1789664655,10000,,Aggregated,2176.200000,26.400000,590,690,780,840,1100,1500,2200,2700,12000,14000,14000,48926,628,590,663.8420131483874,53.759650999836595,13837.807918999943,47.74447124228426
1789664656,10000,,Aggregated,2137.500000,27.700000,620,730,840,920,1300,1700,2300,2800,15000,16000,17000,54950,628,620,740.3384006418381,53.759650999836595,16501.77491399995,47.66285714285714
1789664657,10000,,Aggregated,2137.500000,27.700000,620,730,840,920,1300,1700,2300,2800,15000,16000,17000,54950,628,620,740.3384006418381,53.759650999836595,16501.77491399995,47.66285714285714
1789664658,10000,,Aggregated,2137.500000,27.700000,620,730,840,920,1300,1700,2300,2800,15000,16000,17000,54950,628,620,740.3384006418381,53.759650999836595,16501.77491399995,47.66285714285714
1789664659,10000,,Aggregated,2102.700000,19.200000,640,780,910,1000,1500,1900,2400,3100,17000,19000,19000,61147,724,640,817.3050766403258,53.759650999836595,18838.94757300004,47.686738515380966
1789664660,10000,,Aggregated,2102.700000,19.200000,640,780,910,1000,1500,1900,2400,3100,17000,19000,19000,61147,724,640,817.3050766403258,53.759650999836595,18838.94757300004,47.686738515380966
1789664661,10000,,Aggregated,2102.700000,19.200000,640,780,910,1000,1500,1900,2400,3100,17000,19000,19000,61147,724,640,817.3050766403258,53.759650999836595,18838.94757300004,47.686738515380966
1789664662,10000,,Aggregated,2045.800000,20.600000,660,820,990,1100,1600,2000,2500,3700,20000,22000,22000,67347,809,660,883.3145763707813,53.759650999836595,21813.025038999967,47.696719972678814
1789664663,10000,,Aggregated,2045.800000,20.600000,660,820,990,1100,1600,2000,2500,3700,20000,22000,22000,67347,809,660,883.3145763707813,53.759650999836595,21813.025038999967,47.696719972678814
1789664664,10000,,Aggregated,2045.800000,20.600000,660,820,990,1100,1600,2000,2500,3700,20000,22000,22000,67347,809,660,883.3145763707813,53.759650999836595,21813.025038999967,47.696719972678814
1789664665,10000,,Aggregated,2040.600000,18.100000,680,860,1100,1200,1700,2000,2500,4100,23000,25000,25000,73568,896,680,947.5998365303393,53.759650999836595,24813.160743000026,47.70639408438451
1789664666,10000,,Aggregated,2040.600000,18.100000,680,860,1100,1200,1700,2000,2500,4100,23000,25000,25000,73568,896,680,947.5998365303393,53.759650999836595,24813.160743000026,47.70639408438451
1789664667,10000,,Aggregated,2040.600000,18.100000,680,860,1100,1200,1700,2000,2500,4100,23000,25000,25000,73568,896,680,947.5998365303393,53.759650999836595,24813.160743000026,47.70639408438451
1789664668,10000,,Aggregated,2054.900000,26.800000,710,920,1200,1400,1800,2100,2600,4600,25000,28000,28000,79649,996,710,1009.8596622428656,53.759650999836595,27754.260911000074,47.7252821755452
1789664669,10000,,Aggregated,2054.900000,26.800000,710,920,1200,1400,1800,2100,2600,4600,25000,28000,28000,79649,996,710,1009.8596622428656,53.759650999836595,27754.260911000074,47.7252821755452
1789664670,10000,,Aggregated,2054.900000,26.800000,710,920,1200,1400,1800,2100,2600,4600,25000,28000,28000,79649,996,710,1009.8596622428656,53.759650999836595,27754.260911000074,47.7252821755452
1789664671,10000,,Aggregated,2053.000000,27.200000,730,990,1200,1400,1900,2100,2600,5700,28000,30000,31000,85916,1095,730,1070.4109894630803,53.759650999836595,30619.30034199986,47.73921039154523
1789664672,10000,,Aggregated,2053.000000,27.200000,730,990,1200,1400,1900,2100,2600,5700,28000,30000,31000,85916,1095,730,1070.4109894630803,53.759650999836595,30619.30034199986,47.73921039154523
1789664673,10000,,Aggregated,2053.000000,27.200000,730,990,1200,1400,1900,2100,2600,5700,28000,30000,31000,85916,1095,730,1070.4109894630803,53.759650999836595,30619.30034199986,47.73921039154523
1789664674,10000,,Aggregated,2061.700000,28.600000,760,1000,1300,1500,1900,2200,2600,7100,30000,33000,33000,92069,1098,760,1125.115064968676,53.759650999836595,32863.09987799996,47.691698617341345
